fecha,nombre,precio
2025-07-31,Queso cremoso La Paulina x kg.,9990
2025-07-31,Queso cremoso Puyehue horma x kg.,11630
2025-07-31,Queso Cremón La Serenísima cremoso fraccionado x kg,14329
2025-07-31,Queso cremoso Cremac x kg.,9800
2025-07-31,Queso cremoso Los 4 Hermanos x kl.,12110
2025-07-31,Queso doble crema cremon fracc La serenísima x kg.,15189
2025-07-31,Queso cremoso Tremblay trozado x kg.,11550
2025-07-31,Queso cremoso Cremón x kg.,14329
2025-07-31,Queso cremoso Puyehué 300 g.,1990
2025-07-31,Queso cremoso La Paulina doble crema x kg.,11899
2025-07-31,Queso cremoso Classic x kg.,11200
2025-07-31,Queso cremoso Sudamlac x kg,10810
2025-07-31,Cremoso vegano Felices Las Vacas 500 g.,6589
2025-07-31,Queso cremoso Silvia fraccionado x kg.,14315
2025-07-31,Queso cremoso horma Supercrem x kg.,14280
2025-07-31,Queso cremoso procesado Los 4 hermanos 250 g.,3240
2025-07-31,Queso cremoso Silvia media horma,13840
2025-07-31,Queso cremoso 1 8 Cremac x kg,12000
2025-07-31,Cremoso vegano Biorganic 500 g.,9080
2025-07-31,Queso cremoso El Puente horma x kg,10500
2025-07-31,Queso cremoso Cerutti fracc x kg.,14920
2025-07-31,Queso cremoso Bonne vie bajo lactosa x kg.,35690
2025-07-31,Queso cremoso sin sal Bonne vie bajo lactosa x kg.,36770
