fecha,nombre,precio
2025-08-18,Queso Cremoso Puyehué Trozado Envasado 1kgs,8900
2025-08-18,Queso Cremoso Noal Trozado Envasado 1kgs,8500
2025-08-18,Queso Cremoso La Paulina Trozado 1kgs,11900
2025-08-18,Queso Cremoso Ecoop Sin Sal Trozado Envasado 1kgs,9950
2025-08-18,Queso Cremoso Don Firticchio Trozado Envasado 1kgs,6500
2025-08-18,Queso Cremoso Gran Aldea Trozado Envasado 260grs,3300
2025-08-18,Queso Cremoso Vacalin Trozado Envasado 400grs,4550
2025-08-18,Queso Cremón Cremoso La Serenisima Trozado Envasado 1kgs,15400
