fecha,nombre,precio
2025-08-14,Queso Cremoso Puyehué Trozado Envasado 1kgs,8900
2025-08-14,Queso Cremoso La Paulina Trozado 1kgs,11900
2025-08-14,Queso Cremoso Ecoop Sin Sal Trozado Envasado 1kgs,9950
2025-08-14,Queso Cremoso Don Firticchio Trozado Envasado 1kgs,6500
2025-08-14,Queso Cremoso Gran Aldea Trozado Envasado 260grs,3300
2025-08-14,Queso Cremoso Noal Trozado Envasado 1kgs,8500
2025-08-14,Queso Cremoso Punta Del Agua Trozado Envasado 1kgs,9900
2025-08-14,Queso Cremoso Las Tres Estrellas Trozado Envasado 1kgs,6500
2025-08-14,Queso Cremón Cremoso La Serenisima Trozado Envasado 1kgs,15400
