fecha,supermercado,producto,precio
2025-08-02,jumbo,Cremoso Base De Almendras Felices Las Vacas 500 Gr Felices Las Vacas,6950.0
2025-08-02,jumbo,Queso Cremoso Cremón Doble Crema Paquete Por Kg La Serenisima,15211.0
2025-08-02,jumbo,Queso Cremoso Cremón Horma La Serenísima x 1 Kg.,14190.0
2025-08-02,jumbo,Queso Cremoso Cremón La Serenísima x 1 kg.,14362.0
2025-08-02,jumbo,Queso Cremoso Cuisine & Co Por Kilo,9990.0
2025-08-02,jumbo,Queso Cremoso La Paulina - Mínimo 1 Kg,9990.0
2025-08-02,jumbo,Queso Untable Adler Cremoso Con Salame 190gr,2325.0
